year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,CAR,Chad,Comoros,"Congo, Rep.","Congo, Dem. Rep.",Cote d'Ivoire,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Fmr. Sudan,Gabon,The Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome & Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Eswatini,Tanzania,Togo,Tunisia,Uganda,Western Sahara,Zambia,Zimbabwe,Other,,Africa,Total for Africa
2022,7462,6784,1179,306,378,164,1918,12,142,1246,140,1144,8427,2492,575,7358,733,485,4511,0,293,11,1763,6181,100,4211,409,1903,17,459,471,206,488,276,211,1263,346,2320,6951,792,0,1855,171,286,4,393,343,834,0,3195,264,166,1958,0,3625,1150,0,,88371,88371
2021,10219,5460,672,267,78,294,2212,20,198,1569,96,1354,8705,2078,419,5020,794,182,5963,0,304,87,2033,6442,114,4425,418,1903,17,1005,422,437,703,522,405,2077,421,1068,8280,980,32,1985,190,272,8,256,674,1170,0,3439,337,139,2342,0,3819,1200,0,,93526,93526
2020,18078,6079,888,201,0,253,2474,97,194,1730,131,1521,6765,1407,815,1891,1100,167,8019,0,844,222,2307,5772,57,4536,433,2102,0,358,459,738,3803,382,490,2629,518,1311,8616,1001,0,1105,219,389,0,181,734,1330,0,3150,248,162,2139,0,4820,1118,0,,104074,103983
2019,42999,22868,1143,400,3,891,2515,188,329,2418,116,3664,6485,2329,733,2017,3045,293,8107,0,1041,574,3360,5521,18,8348,765,3140,70,551,315,885,4611,994,491,2994,806,954,12199,1977,8,2967,272,1017,1,598,733,5893,0,4987,316,234,5656,0,8906,1000,0,,182745,182745
2018,60220,27222,558,492,21,926,2783,397,185,1717,129,4122,7668,2116,1155,1197,4025,234,9112,0,910,736,3082,4187,351,9131,607,4408,90,613,299,597,1699,1293,429,3153,1153,836,11088,1847,0,3284,181,1267,1,661,439,5129,0,3948,677,260,5493,0,8242,688,0,,201058,201058
2017,61491,25567,330,487,3,649,2677,426,219,2248,121,4899,6293,1241,1261,1850,4684,404,9663,0,2281,326,4899,3765,345,8703,625,5939,134,601,281,480,1586,1079,697,4065,880,890,10193,1679,0,2112,139,1377,3,511,431,5234,0,3691,726,289,4686,0,8780,749,0,,202689,202689
2016,91596,29428,380,596,0,668,3775,421,39,3292,303,6293,5111,691,1470,1546,5708,622,9883,0,2686,116,3042,2541,355,8159,900,3163,249,502,285,859,1484,1183,864,4196,1204,1134,8919,1363,7,1634,301,1376,30,280,420,6202,0,4434,654,205,4428,0,6580,941,0,,232518,232518
2015,91122,44106,319,1247,0,834,4303,539,667,3937,235,8942,5828,821,965,2302,9565,588,9973,0,2304,66,3537,1500,392,7436,1185,3964,135,546,311,992,1436,2027,1381,3946,1593,1743,8658,1210,7,1965,442,1326,0,2106,829,7910,0,5796,302,312,4473,0,6572,964,37,,263696,263659
2014,71542,50231,633,1458,37,541,3636,642,665,3462,226,14483,5155,646,178,185,12550,520,14078,0,1560,53,3351,2378,593,4938,1294,4099,115,555,352,1104,1569,2364,1237,3214,1471,1858,8677,1382,6,1919,391,1309,0,4186,718,9808,3,5619,1057,323,2817,0,7489,693,0,,259385,259370
2013,48679,50526,951,2102,98,212,2450,603,27,2971,215,10690,3704,750,176,993,12196,444,8009,0,2821,32,3606,2137,287,2690,1320,2339,501,494,357,812,1512,2824,1076,3856,653,1207,7886,922,6,1551,346,1106,0,2903,317,10133,4,5755,1187,650,1380,0,5440,628,0,,214534,214534
2012,40537,43604,596,2157,2,203,2309,1832,238,2852,205,5187,3069,352,105,1041,12375,440,6802,0,2515,24,3156,1213,393,2663,983,2474,40,438,501,1030,2178,5212,1696,1815,471,696,7607,466,10,1579,433,923,0,3220,0,12064,12,4720,584,230,1015,0,7048,696,0,,192452,192011
2011,36562,41693,399,3238,3,249,1063,990,293,2557,164,4172,3060,160,213,1082,10905,466,5675,0,1805,22,2368,617,455,2371,663,879,1,658,571,1432,1900,6721,1616,1207,327,2729,9062,495,17,1758,455,487,0,1926,149,15257,177,4470,341,165,1587,0,4410,1037,0,,181079,181079
